system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
0,72.63015,-49.29449,121.92464,0.1535712,0.393512,-0.393512,1.688008,147.83022,144.08334,67.70633,-0.9190000101674481,-48.59287797988236,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59287797988236,-0.9190000101674481]}"
1,78.033714,-53.79463,131.82834,0.21825668,0.4831968,-0.4831968,1.680585,106.40418,113.56579,42.693687,-0.9189999796943125,-48.59283308032452,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283308032452,-0.9189999796943125]}"
2,58.44943,-27.517754,85.967186,0.14364414,0.32977238,-0.32977238,1.1680689,132.40779,133.15686,75.456505,-0.9190452978547067,-48.59301264829295,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301264829295,-0.9190452978547067]}"
3,56.346077,-21.547792,77.89387,0.13777302,0.3198163,-0.3198163,1.2284176,143.77693,143.68024,87.23746,-0.9190452673817732,-48.592967748730075,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592967748730075,-0.9190452673817732]}"
4,70.131546,-48.52398,118.655525,0.15299104,0.4038557,-0.4038557,1.7795749,147.1967,142.07532,66.82238,-0.9190452369082722,-48.5929228491687,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5929228491687,-0.9190452369082722]}"
5,62.307407,-44.249325,106.55673,0.14512956,0.40054482,-0.40054482,1.857145,139.7815,132.5973,63.105698,-0.9190452064342041,-48.59287794960881,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59287794960881,-0.9190452064342041]}"
6,64.74011,-43.104992,107.84511,0.16577207,0.40151563,-0.40151563,1.5079631,120.41373,120.061325,54.968807,-0.9190451759595695,-48.592833050050416,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592833050050416,-0.9190451759595695]}"
7,93.726265,-56.635414,150.36168,0.28509316,0.5233012,-0.5233012,1.3532729,91.73877,112.78646,40.10789,-0.9190451454843676,-48.59278815049351,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59278815049351,-0.9190451454843676]}"
8,66.9735,-39.332695,106.3062,0.14257628,0.3562739,-0.3562739,1.5335846,147.96501,145.3229,75.70729,-0.9190905855458418,-48.593147316718806,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593147316718806,-0.9190905855458418]}"
9,67.39799,-39.60168,106.999664,0.1411198,0.35590854,-0.35590854,1.5426126,151.39809,148.17378,77.551506,-0.9190905550731103,-48.5931024171509,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5931024171509,-0.9190905550731103]}"
10,71.980446,-44.613594,116.59404,0.16423443,0.3996498,-0.3996498,1.7575536,138.48547,138.91039,67.35485,-0.9190905245998122,-48.593057517584505,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593057517584505,-0.9190905245998122]}"
11,58.907944,-26.125538,85.03348,0.13080782,0.31294444,-0.31294444,1.1578343,144.68387,143.83499,84.078186,-0.9190904941259466,-48.59301261801959,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301261801959,-0.9190904941259466]}"
12,62.80914,-33.692944,96.50208,0.14296174,0.3470614,-0.3470614,1.445746,139.23825,138.42966,74.81194,-0.9190904636515137,-48.592967718456165,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592967718456165,-0.9190904636515137]}"
13,66.016,-44.772335,110.78833,0.1570753,0.40943614,-0.40943614,1.9101579,137.07162,133.08353,63.079422,-0.9190904331765146,-48.59292281889424,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59292281889424,-0.9190904331765146]}"
14,61.565468,-40.01174,101.57721,0.14083184,0.3753954,-0.3753954,1.7595097,141.84358,135.97829,68.54754,-0.9190904027009473,-48.59287791933379,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59287791933379,-0.9190904027009473]}"
15,58.69545,-35.562492,94.25794,0.14637762,0.3577105,-0.3577105,1.3421844,123.47997,121.93506,61.69469,-0.9190903722248137,-48.592833019774815,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592833019774815,-0.9190903722248137]}"
16,93.769005,-55.35165,149.12065,0.25875542,0.4842022,-0.4842022,1.2597855,102.16239,121.640175,47.34894,-0.9190903417481127,-48.59278812021735,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59278812021735,-0.9190903417481127]}"
17,60.48209,-34.449066,94.93115,0.13630049,0.34001863,-0.34001863,1.2865425,139.51076,136.41162,72.8304,-0.9191358732408521,-48.59328198515996,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59328198515996,-0.9191358732408521]}"
18,67.558716,-40.092636,107.65135,0.14933941,0.36524528,-0.36524528,1.4382039,142.57974,141.16734,72.19622,-0.9191358427683235,-48.593237085587056,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593237085587056,-0.9191358427683235]}"
19,70.41744,-43.652912,114.07036,0.16588204,0.39630395,-0.39630395,1.5514127,133.29001,134.18752,64.66757,-0.9191358122952279,-48.59319218601561,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59319218601561,-0.9191358122952279]}"
20,67.33223,-40.33689,107.66912,0.14731643,0.36791295,-0.36791295,1.580172,145.19623,142.89053,73.252594,-0.9191357818215647,-48.59314728644566,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59314728644566,-0.9191357818215647]}"
21,71.052155,-46.168705,117.22086,0.17491767,0.428383,-0.428383,1.9824965,130.17052,130.85725,60.491814,-0.9191357513473352,-48.59310238687719,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59310238687719,-0.9191357513473352]}"
22,71.62974,-42.222332,113.85207,0.1673547,0.39316735,-0.39316735,1.5827136,134.84665,137.1359,67.7954,-0.9191357208725379,-48.59305748731023,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59305748731023,-0.9191357208725379]}"
23,67.47702,-45.31795,112.79497,0.16882941,0.42944402,-0.42944402,2.166312,130.33627,128.67815,59.542995,-0.9191356903971735,-48.59301258774475,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301258774475,-0.9191356903971735]}"
24,68.80218,-48.768234,117.57041,0.16937064,0.44080365,-0.44080365,2.31467,132.81042,129.71634,57.82007,-0.9191356599212426,-48.59296768818076,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59296768818076,-0.9191356599212426]}"
25,63.679096,-45.1617,108.8408,0.14403695,0.4003169,-0.4003169,1.9660405,144.22989,136.61716,65.325325,-0.9191356294447438,-48.59292278861826,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59292278861826,-0.9191356294447438]}"
26,64.24317,-45.207745,109.45092,0.14978205,0.4092112,-0.4092112,2.1981056,140.47037,134.10622,63.498913,-0.9191355989676779,-48.59287788905725,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59287788905725,-0.9191355989676779]}"
27,69.46088,-46.687897,116.148766,0.16693923,0.41727546,-0.41727546,1.9657007,132.54398,131.17717,60.34948,-0.9191355684900453,-48.59283298949774,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283298949774,-0.9191355684900453]}"
28,71.17522,-32.244495,103.41971,0.173079,0.34459907,-0.34459907,0.9768,126.00036,135.44518,73.71477,-0.9191355380118453,-48.5927880899397,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5927880899397,-0.9191355380118453]}"
29,120.20192,-48.11113,168.31305,0.251052,0.37954637,-0.37954637,0.7802833,127.12006,165.63313,83.94429,-0.9191355075330785,-48.592743190383146,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592743190383146,-0.9191355075330785]}"
30,96.84319,-53.52706,150.37025,0.2571831,0.45890036,-0.45890036,1.1340895,113.04901,133.51224,57.132263,-0.9191811914114959,-48.59346155319587,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59346155319587,-0.9191811914114959]}"
31,66.67633,-36.04962,102.72595,0.13715434,0.32223842,-0.32223842,1.0212405,144.77252,144.43265,77.41645,-0.9191811609397376,-48.59341665361642,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59341665361642,-0.9191811609397376]}"
32,60.434845,-31.978605,92.413445,0.12969157,0.31604654,-0.31604654,1.0686133,142.47621,140.05382,77.19658,-0.919181130467412,-48.59337175403848,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59337175403848,-0.919181130467412]}"
33,61.94218,-34.218887,96.16107,0.1413197,0.33826202,-0.33826202,1.202979,135.4258,134.49794,71.62789,-0.9191810999945188,-48.593326854462,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593326854462,-0.9191810999945188]}"
34,71.48804,-43.24459,114.732635,0.16576777,0.39068115,-0.39068115,1.5299693,134.43355,136.13646,66.35133,-0.919181069521059,-48.59328195488703,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59328195488703,-0.919181069521059]}"
