system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
0,31.159245,19.971468,11.187776,0.12364252,0.06779326,-0.06779326,0.112789616,70.27796,89.99086,78.544525,-0.9189999735982676,-48.592824100413125,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592824100413125,-0.9189999735982676]}"
1,32.303402,25.31275,6.9906507,0.05462175,0.09860876,-0.09860876,0.21139835,158.1339,162.18054,133.92378,-0.9190634190238481,-48.59307549557459,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59307549557459,-0.9190634190238481]}"
2,35.381977,32.428795,2.9531822,0.059013247,0.088592276,-0.088592276,0.1812434,161.96709,171.5097,145.67036,-0.9190633763618544,-48.593012636183765,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593012636183765,-0.9190633763618544]}"
3,34.466694,34.92519,-0.45849803,0.055232983,0.08280384,-0.08280384,0.16897658,166.60419,175.79134,150.51181,-0.9190633336987492,-48.592949776795855,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592949776795855,-0.9190633336987492]}"
4,26.331966,35.196648,-8.864682,0.050570097,0.07152651,-0.07152651,0.14688702,155.74638,161.17018,140.26202,-0.9190632910345322,-48.59288691741087,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288691741087,-0.9190632910345322]}"
5,38.101227,14.173159,23.928068,0.106885016,0.10991961,-0.10991961,0.2131551,100.48499,115.66325,92.740295,-0.9190632483692038,-48.5928240580288,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.5928240580288,-0.9190632483692038]}"
6,20.033356,25.885372,-5.8520164,0.03521158,0.096646145,-0.096646145,0.22590747,164.82472,158.15926,131.46045,-0.9191268217946352,-48.59326403138506,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59326403138506,-0.9191268217946352]}"
7,25.529545,21.170252,4.3592935,0.04765492,0.10746083,-0.10746083,0.24489783,152.60837,150.31297,122.488014,-0.9191267791330385,-48.593201171984376,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593201171984376,-0.9191267791330385]}"
8,23.620853,22.046616,1.574239,0.04393922,0.103867866,-0.103867866,0.23912603,151.66985,148.58533,121.87996,-0.9191267364703304,-48.59313831258661,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59313831258661,-0.9191267364703304]}"
9,35.5168,14.499555,21.017246,0.064572535,0.12713867,-0.12713867,0.2855151,149.5068,151.96255,118.90151,-0.9191266938065106,-48.59307545319175,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59307545319175,-0.9191266938065106]}"
10,52.023373,19.592945,32.430424,0.08901379,0.12873395,-0.12873395,0.2650376,156.82591,173.3233,137.79732,-0.919126651141579,-48.59301259379983,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301259379983,-0.919126651141579]}"
11,49.243332,21.343824,27.899508,0.080249235,0.123435035,-0.123435035,0.26002452,166.0896,179.33885,143.34476,-0.9191266084755361,-48.592949734410816,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592949734410816,-0.9191266084755361]}"
