system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
0,681.0,-65.20000000000005,746.2,0.23297981517859057,0.7262096,0.20293725,-0.20293725,0.31211498941261295,-0.9210875765719514,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9210875765719514]}"
1,811.0,-198.60000000000002,1009.6000000000001,0.30615326526759035,0.7910448,0.29008204,-0.29008204,0.4331848547514645,-0.9210875765719514,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9210875765719514]}"
2,826.0,-208.60000000000002,1034.6000000000001,0.30256410245327325,0.7769619,0.2930909,-0.2930909,0.4433443339457158,-0.9210875765719514,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9210875765719514]}"
3,786.0,-142.20000000000005,928.2,0.27892122062493924,0.7508046,0.24878725,-0.24878725,0.37048503573737357,-0.9209977450435394,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9209977450435394]}"
4,873.0,-224.80000000000007,1097.8,0.3229744726885037,0.7928045,0.303207,-0.303207,0.4449197856204066,-0.9209977450435394,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9209977450435394]}"
5,801.0,-188.60000000000002,989.6000000000001,0.3058419242818473,0.7844203,0.28474832,-0.28474832,0.42204899730284073,-0.9209977450435394,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9209977450435394]}"
6,786.0,-165.60000000000002,951.6000000000001,0.3025404155879367,0.77531207,0.27027026,-0.27027026,0.39473684167243767,-0.9209977450435394,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9209977450435394]}"
7,734.0,-145.20000000000005,879.2,0.2915011913059964,0.772043,0.26046512,-0.26046512,0.38399999956114284,-0.9209977450435394,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9209977450435394]}"
8,630.0,-92.0,722.0,0.24822695025680577,0.75442046,0.2260062,-0.2260062,0.34844868693502545,-0.9209977450435394,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9209977450435394]}"
9,568.0,37.799999999999955,530.2,0.19009370810237827,0.6881771,0.1463572,-0.1463572,0.2263210366636879,-0.9209079135151275,-48.59288307422672,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59288307422672,-0.9209079135151275]}"
10,784.0,-167.80000000000007,951.8,0.2929745888292322,0.7729138,0.26925898,-0.26925898,0.4010928957365105,-0.9209079135151275,-48.592793242698306,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592793242698306,-0.9209079135151275]}"
11,821.0,-200.60000000000002,1021.6000000000001,0.31016244793722614,0.7844203,0.29113925,-0.29113925,0.43156732844197865,-0.9209079135151275,-48.59270341116989,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59270341116989,-0.9209079135151275]}"
12,811.0,-193.4000000000001,1004.4000000000001,0.31324835831855996,0.7819112,0.2888552,-0.2888552,0.4238042264473813,-0.9209079135151275,-48.59261357964148,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59261357964148,-0.9209079135151275]}"
13,765.0,-165.20000000000005,930.2,0.3012997241822372,0.77861166,0.27272728,-0.27272728,0.40090600181097846,-0.9209079135151275,-48.59252374811307,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59252374811307,-0.9209079135151275]}"
14,723.0,-146.80000000000007,869.8,0.29094567392718484,0.77882797,0.2629921,-0.2629921,0.3897316214822268,-0.9209079135151275,-48.59243391658466,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59243391658466,-0.9209079135151275]}"
15,591.0,-48.60000000000002,639.6000000000001,0.23443078134294695,0.74467045,0.19784449,-0.19784449,0.3005847949700763,-0.9209079135151275,-48.59234408505625,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59234408505625,-0.9209079135151275]}"
16,628.0,-79.80000000000007,707.8,0.2590759074838796,0.75303644,0.21982414,-0.21982414,0.3269916761866924,-0.9209079135151275,-48.592254253527834,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592254253527834,-0.9209079135151275]}"
17,622.0,-93.0,715.0,0.26423109589454924,0.7540333,0.23076923,-0.23076923,0.3452970292756225,-0.9209079135151275,-48.59216442199942,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59216442199942,-0.9209079135151275]}"
18,524.0,-80.80000000000007,604.8000000000001,0.25838264287061996,0.77034044,0.23166023,-0.23166023,0.3519061578417798,-0.9209079135151275,-48.59207459047101,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59207459047101,-0.9209079135151275]}"
