system:index,EXG,EXR,ExGR,GLI1,NDVI,NGRDI,RI,VARI,lat,lon,res_m,.geo
0,7.185314685314682,660.5489510489509,-653.3636363636364,0.0031994721795444033,0.42273626,-0.112326965,0.112326965,-0.16626687727241918,-0.9210426608077453,-48.59283815846251,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283815846251,-0.9210426608077453]}"
1,-4.171218487394957,738.6277310924369,-742.7989495798317,-0.0010642206668891852,0.41450647,-0.12818518,0.12818518,-0.18547995690993277,-0.9210426608077453,-48.592658495405686,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592658495405686,-0.9210426608077453]}"
2,24.82325581395349,684.1218604651161,-659.2986046511628,0.007160833159715831,0.4295844,-0.11895997,0.11895997,-0.1721178195431866,-0.9210426608077453,-48.59247883234887,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59247883234887,-0.9210426608077453]}"
3,147.87142857142857,458.587857142857,-310.71642857142837,0.04911330745937014,0.50524426,-0.060084265,0.060084265,-0.08893803097126089,-0.9208629977509215,-48.59283815846251,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283815846251,-0.9208629977509215]}"
4,203.74763406940062,377.94889589905347,-174.20126182965294,0.07355625757616668,0.55871177,-0.03626006,0.03626006,-0.05282871290549168,-0.9208629977509215,-48.592658495405686,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592658495405686,-0.9208629977509215]}"
5,154.82532751091702,430.6757641921396,-275.8504366812226,0.056230195771376855,0.53559524,-0.055463895,0.055463895,-0.08076198991943928,-0.9208629977509215,-48.59247883234887,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59247883234887,-0.9208629977509215]}"
6,129.5,504.3999999999999,-374.90000000000003,0.04321053910050854,0.51225334,-0.07347994,0.07347994,-0.10703680601058502,-0.9208629977509215,-48.59229916929204,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59229916929204,-0.9208629977509215]}"
7,209.90961098398168,300.3640732265445,-90.45446224256288,0.09349323892141878,0.6042024,-0.0021994528,0.0021994528,-3.211897086707905E-4,-0.9208629977509215,-48.592119506235214,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592119506235214,-0.9208629977509215]}"
8,205.67672413793105,392.4905172413792,-186.81379310344818,0.07098991982732249,0.5351847,-0.03507104,0.03507104,-0.051375620433210624,-0.9206833346940976,-48.59283815846251,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283815846251,-0.9206833346940976]}"
9,234.8153846153846,328.64615384615377,-93.83076923076918,0.08947815078556927,0.5792802,-0.019815058,0.019815058,-0.029079103463034342,-0.9206833346940976,-48.592658495405686,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592658495405686,-0.9206833346940976]}"
10,231.5,304.94999999999993,-73.44999999999993,0.08907800333307636,0.5910821,-0.011051176,0.011051176,-0.01621613632408423,-0.9206833346940976,-48.59247883234887,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59247883234887,-0.9206833346940976]}"
11,232.13052858683926,320.3905070118662,-88.25997842502692,0.08752536551753468,0.5956156,-0.014910405,0.014910405,-0.02198183387787409,-0.9206833346940976,-48.59229916929204,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59229916929204,-0.9206833346940976]}"
12,345.5041322314049,85.74214876033054,259.7619834710744,0.1663058190916512,0.7066616,0.10802431,-0.10802431,0.16462067403997668,-0.9206833346940976,-48.592119506235214,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592119506235214,-0.9206833346940976]}"
13,117.13745704467352,427.59003436426116,-310.45257731958765,0.040712431128007404,0.5114821,-0.057377186,0.057377186,-0.0867264819566847,-0.9205036716372736,-48.59301782151933,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59301782151933,-0.9205036716372736]}"
14,241.0,357.1499999999999,-116.14999999999992,0.08557842135677803,0.55891055,-0.022832517,0.022832517,-0.033471055704359966,-0.9205036716372736,-48.59283815846251,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283815846251,-0.9205036716372736]}"
15,289.70854271356785,286.25226130653255,3.456281407035223,0.1074961262050813,0.5930451,0.0059534484,-0.0059534484,0.008687730391765213,-0.9205036716372736,-48.592658495405686,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592658495405686,-0.9205036716372736]}"
16,269.0792079207921,286.8376237623762,-17.758415841584146,0.10041354869527008,0.599117,0.0038341505,-0.0038341505,0.005602679581691291,-0.9205036716372736,-48.59247883234887,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59247883234887,-0.9205036716372736]}"
17,271.0182795698925,229.2023655913978,41.815913978494656,0.11081799864547173,0.63173443,0.027819129,-0.027819129,0.04259357804137901,-0.9205036716372736,-48.59229916929204,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59229916929204,-0.9205036716372736]}"
